transitions (M),memory(MB),memory(MB),memory(GB),memory(GB)
3.18,823.6695552,826.6317824,0.823669555,0.826631782
3.19,825.1301888,828.2587136,0.825130189,0.828258714
3.2,826.8177408,829.595648,0.826817741,0.829595648
3.21,828.2619904,831.6485632,0.82826199,0.831648563
3.22,829.6677376,832.9560064,0.829667738,0.832956006
3.23,831.213568,834.7590656,0.831213568,0.834759066
3.24,832.8167424,836.2442752,0.832816742,0.836244275
3.25,834.4109056,837.7294848,0.834410906,0.837729485
3.26,835.82976,839.0639616,0.83582976,0.839063962
3.27,837.2297728,841.117696,0.837229773,0.841117696
3.28,838.88128,842.5496576,0.83888128,0.842549658
3.29,840.4369408,844.5222912,0.840436941,0.844522291
3.3,842.1916672,846.462976,0.842191667,0.846462976
3.31,843.5662848,848.449536,0.843566285,0.848449536
3.32,845.2292608,849.9093504,0.845229261,0.84990935
3.33,846.5276928,851.5395584,0.846527693,0.851539558
3.34,848.543744,853.413888,0.848543744,0.853413888
3.35,849.9044352,854.7442688,0.849904435,0.854744269
3.36,851.4002944,855.7756416,0.851400294,0.855775642
3.37,853.1386368,857.546752,0.853138637,0.857546752
3.38,854.5411072,858.6543104,0.854541107,0.85865431
3.39,856.6194176,859.8790144,0.856619418,0.859879014
3.4,857.6917504,861.3953536,0.85769175,0.861395354
3.41,859.4931712,863.1713792,0.859493171,0.863171379
3.42,860.9185792,864.9801728,0.860918579,0.864980173
3.43,862.1457408,866.67264,0.862145741,0.86667264
3.44,864.0167936,869.1294208,0.864016794,0.869129421
3.45,865.5020032,870.6916352,0.865502003,0.870691635
3.46,867.0830592,872.574976,0.867083059,0.872574976
3.47,868.6206976,874.5197568,0.868620698,0.874519757
3.48,870.6154496,875.9795712,0.87061545,0.875979571
3.49,871.8729216,877.6155136,0.871872922,0.877615514
3.5,873.2639232,879.0122496,0.873263923,0.87901225
3.51,875.08992,880.2050048,0.87508992,0.880205005
3.52,876.6660608,881.29536,0.876666061,0.88129536
3.53,878.5731584,882.4840192,0.878573158,0.882484019
3.54,879.86176,883.7660672,0.87986176,0.883766067
3.55,881.2019712,885.2799488,0.881201971,0.885279949
3.56,882.7731968,887.054336,0.882773197,0.887054336
3.57,884.5000704,888.664064,0.88450007,0.888664064
3.58,886.042624,890.9324288,0.886042624,0.890932429
3.59,887.8710784,892.940288,0.887871078,0.892940288
3.6,889.4398464,894.353408,0.889439846,0.894353408
3.61,890.8455936,896.8912896,0.890845594,0.89689129
3.62,892.4749824,898.3232512,0.892474982,0.898323251
3.63,894.201856,899.7855232,0.894201856,0.899785523
3.64,895.6870656,901.095424,0.895687066,0.901095424
3.65,897.142784,902.4724992,0.897142784,0.902472499
3.66,898.7803648,903.176192,0.898780365,0.903176192
3.67,900.5932544,904.5778432,0.900593254,0.904577843
3.68,902.1349888,905.9147776,0.902134989,0.905914778
3.69,903.8839808,907.2525312,0.903883981,0.907252531
3.7,905.3134848,908.9400832,0.905313485,0.908940083
3.71,906.9953024,910.6325504,0.906995302,0.91063255
3.72,908.8131072,913.0196992,0.908813107,0.913019699
3.73,910.3532032,914.6687488,0.910353203,0.914668749
3.74,911.798272,916.9731584,0.911798272,0.916973158
3.75,913.3785088,918.9646336,0.913378509,0.918964634
3.76,915.0455808,920.6980608,0.915045581,0.920698061
3.77,916.6389248,922.345472,0.916638925,0.922345472
3.78,918.4206848,923.3588224,0.918420685,0.923358822
3.79,920.1082368,924.5261824,0.920108237,0.924526182
3.8,921.7376256,925.6493056,0.921737626,0.925649306
3.81,923.3154048,926.5864704,0.923315405,0.92658647
3.82,924.9005568,928.0618496,0.924900557,0.92806185
3.83,926.294016,928.9842688,0.926294016,0.928984269
3.84,928.0323584,930.5874432,0.928032358,0.930587443
3.85,929.2488704,932.57728,0.92924887,0.93257728
3.86,931.0691328,934.0608512,0.931069133,0.934060851
3.87,932.8427008,936.2767872,0.932842701,0.936276787
3.88,934.1689856,938.2322176,0.934168986,0.938232218
3.89,936.1727488,940.089344,0.936172749,0.940089344
3.9,937.4302208,942.4101376,0.937430221,0.942410138
3.91,939.302912,943.86176,0.939302912,0.94386176
3.92,940.8356352,944.9316352,0.940835635,0.944931635
3.93,942.1766656,945.963008,0.942176666,0.945963008
3.94,943.7069312,947.5407872,0.943706931,0.947540787
3.95,945.098752,948.1363456,0.945098752,0.948136346
3.96,946.823168,949.2758528,0.946823168,0.949275853
3.97,948.4517376,950.4587776,0.948451738,0.950458778
3.98,949.8656768,951.7236224,0.949865677,0.951723622
3.99,951.5302912,953.4742528,0.951530291,0.953474253
4,953.11872,955.4321408,0.95311872,0.955432141
4.01,954.6530816,957.2818944,0.954653082,0.957281894
4.02,956.4700672,959.1537664,0.956470067,0.959153766
4.03,957.8610688,960.987136,0.957861069,0.960987136
4.04,959.0775808,963.1924224,0.959077581,0.963192422
4.05,960.90112,964.8234496,0.96090112,0.96482345
4.06,962.3248896,966.4888832,0.96232489,0.966488883
4.07,964.0288256,968.2378752,0.964028826,0.968237875
4.08,965.8195968,969.1193344,0.965819597,0.969119334
4.09,966.9853184,970.0368384,0.966985318,0.970036838
4.1,968.6843392,970.9043712,0.968684339,0.970904371
4.11,970.1654528,971.5851264,0.970165453,0.971585126
4.12,971.8218752,973.0924544,0.971821875,0.973092454
4.13,973.3947392,974.1688832,0.973394739,0.974168883
4.14,974.7095552,975.5574272,0.974709555,0.975557427
4.15,976.30208,978.2345728,0.97630208,0.978234573
4.16,977.944576,979.4297856,0.977944576,0.979429786
4.17,979.2602112,981.4974464,0.979260211,0.981497446
4.18,981.1181568,983.6003328,0.981118157,0.983600333
4.19,982.4018432,985.4754816,0.982401843,0.985475482
4.2,984.0443392,986.7739136,0.984044339,0.986773914
4.21,985.6344064,988.3648,0.985634406,0.9883648
4.22,986.8754944,989.7156608,0.986875494,0.989715661
4.23,988.7162368,990.732288,0.988716237,0.990732288
4.24,989.9466752,991.4384384,0.989946675,0.991438438
4.25,991.4548224,992.3584,0.991454822,0.9923584
4.26,993.2701696,993.2767232,0.99327017,0.993276723
4.27,994.1704704,994.5243648,0.99417047,0.994524365
4.28,996.2790912,995.8817792,0.996279091,0.995881779
4.29,997.6397824,997.9600896,0.997639782,0.99796009
4.3,999.215104,999.7541376,0.999215104,0.999754138
4.31,1000.740454,1001.662874,1.000740454,1.001662874
4.32,1002.072474,1003.853414,1.002072474,1.003853414
4.33,1003.660083,1005.44512,1.003660083,1.00544512
4.34,1005.051085,1007.342387,1.005051085,1.007342387
4.35,1006.306099,1009.031578,1.006306099,1.009031578
4.36,1008.038707,1010.2784,1.008038707,1.0102784
4.37,1009.67383,1011.29257,1.00967383,1.01129257
4.38,1010.982912,1012.290355,1.010982912,1.012290355
4.39,1012.717158,1012.882637,1.012717158,1.012882637
4.4,1014.006579,1014.045901,1.014006579,1.014045901
4.41,1015.576986,1014.677504,1.015576986,1.014677504
4.42,1017.28256,1016.194662,1.01728256,1.016194662
4.43,1018.564608,1017.933005,1.018564608,1.017933005
4.44,1020.256256,1019.347763,1.020256256,1.019347763
4.45,1021.647258,1021.607117,1.021647258,1.021607117
4.46,1023.029248,1023.356109,1.023029248,1.023356109
4.47,1024.925696,1025.014989,1.024925696,1.025014989
4.48,1026.407629,1026.91881,1.026407629,1.02691881
4.49,1027.852698,1028.56704,1.027852698,1.02856704
4.5,1029.491917,1029.998182,1.029491917,1.029998182
4.51,1031.322829,1031.285965,1.031322829,1.031285965
4.52,1032.63191,1032.026522,1.03263191,1.032026522
4.53,1034.258842,1032.792474,1.034258842,1.032792474
4.54,1035.70391,1033.689498,1.03570391,1.033689498
4.55,1036.952371,1034.86505,1.036952371,1.03486505
4.56,1038.892237,1035.912806,1.038892237,1.035912806
4.57,1040.470016,1037.121946,1.040470016,1.037121946
4.58,1041.731584,1039.072461,1.041731584,1.039072461
4.59,1043.881165,1040.247194,1.043881165,1.040247194
4.6,1045.402419,1041.818419,1.045402419,1.041818419
4.61,1046.800794,1043.523174,1.046800794,1.043523174
4.62,1048.252416,1045.034598,1.048252416,1.045034598
4.63,1049.740902,1046.647603,1.049740902,1.046647603
4.64,1051.314586,1048.03369,1.051314586,1.04803369
4.65,1053.065216,1049.523814,1.053065216,1.049523814
4.66,1054.467686,1050.730496,1.054467686,1.050730496
4.67,1055.825101,1052.164096,1.055825101,1.052164096
4.68,1057.459405,1054.087578,1.057459405,1.054087578
4.69,1058.823373,1055.11895,1.058823373,1.05511895
4.7,1060.629709,1056.242074,1.060629709,1.056242074
4.71,1061.892915,1057.634714,1.061892915,1.057634714
4.72,1063.156941,1058.824192,1.063156941,1.058824192
4.73,1064.732262,1060.568269,1.064732262,1.060568269
4.74,1066.007757,1061.886362,1.066007757,1.061886362
4.75,1067.231642,1063.0144,1.067231642,1.0630144
4.76,1069.013402,1064.474214,1.069013402,1.064474214
4.77,1070.338867,1065.734144,1.070338867,1.065734144
4.78,1071.919104,1067.166106,1.071919104,1.067166106
4.79,1073.495245,1068.421939,1.073495245,1.068421939
4.8,1074.695373,1069.894861,1.074695373,1.069894861
4.81,1075.98889,1071.203942,1.07598889,1.071203942
4.82,1077.601075,1072.594944,1.077601075,1.072594944
4.83,1078.777446,1073.290445,1.078777446,1.073290445
4.84,1080.480563,1074.624922,1.080480563,1.074624922
4.85,1082.326221,1075.74231,1.082326221,1.07574231
4.86,1083.979366,1076.698317,1.083979366,1.076698317
4.87,1085.455565,1078.594765,1.085455565,1.078594765
4.88,1086.695834,1079.898931,1.086695834,1.079898931
4.89,1088.434176,1081.153946,1.088434176,1.081153946
4.9,1090.162688,1083.060224,1.090162688,1.083060224
4.91,1091.861709,1084.207104,1.091861709,1.084207104
4.92,1093.016781,1085.780787,1.093016781,1.085780787
4.93,1094.713344,1087.557632,1.094713344,1.087557632
4.94,1096.01751,1088.761856,1.09601751,1.088761856
4.95,1097.818112,1090.143846,1.097818112,1.090143846
4.96,1099.594957,1091.296461,1.099594957,1.091296461
4.97,1100.988416,1092.096,1.100988416,1.092096
4.98,1102.322893,1093.776179,1.102322893,1.093776179
4.99,1103.92361,1094.44137,1.10392361,1.09444137
5,1105.528422,1095.54729,1.105528422,1.09554729
5.01,1107.242189,1096.81623,1.107242189,1.09681623
5.02,1108.657766,1097.665741,1.108657766,1.097665741
