transitions,memory(MB),memory(MB),memory(GB),memory(GB)
1.15,156.4033024,165.4382592,0.156403302,0.165438259
1.16,156.9398784,166.0903424,0.156939878,0.166090342
1.17,157.5043072,166.8079616,0.157504307,0.166807962
1.18,158.1105152,167.473152,0.158110515,0.167473152
1.19,158.6757632,168.0531456,0.158675763,0.168053146
1.2,159.2885248,168.2604032,0.159288525,0.168260403
1.21,159.8808064,168.5987328,0.159880806,0.168598733
1.22,160.5312512,168.9100288,0.160531251,0.168910029
1.23,161.1431936,169.5588352,0.161143194,0.169558835
1.24,161.7362944,170.0134912,0.161736294,0.170013491
1.25,162.3318528,170.68032,0.162331853,0.17068032
1.26,162.8233728,171.3987584,0.162823373,0.171398758
1.27,163.3820672,172.0180736,0.163382067,0.172018074
1.28,163.8735872,172.7430656,0.163873587,0.172743066
1.29,164.3839488,173.4098944,0.164383949,0.173409894
1.3,164.8590848,173.9055104,0.164859085,0.17390551
1.31,165.3121024,174.0857344,0.165312102,0.174085734
1.32,165.7888768,174.538752,0.165788877,0.174538752
1.33,166.2353408,174.9475328,0.166235341,0.174947533
1.34,166.6736128,175.579136,0.166673613,0.175579136
1.35,167.1757824,176.1550336,0.167175782,0.176155034
1.36,168.6929408,176.635904,0.168692941,0.176635904
1.37,169.12384,177.266688,0.16912384,0.177266688
1.38,169.5932416,177.8089984,0.169593242,0.177808998
1.39,170.0642816,178.4815616,0.170064282,0.178481562
1.4,170.5418752,179.3613824,0.170541875,0.179361382
1.41,171.008,179.9462912,0.171008,0.179946291
1.42,171.4601984,179.8905856,0.171460198,0.179890586
1.43,171.9296,180.224,0.1719296,0.180224
1.44,172.3506688,181.8304512,0.172350669,0.181830451
1.45,172.7709184,182.521856,0.172770918,0.182521856
1.46,173.2304896,182.9535744,0.17323049,0.182953574
1.47,173.7211904,183.4729472,0.17372119,0.183472947
1.48,174.2020608,184.0349184,0.174202061,0.184034918
1.49,174.7050496,184.6493184,0.17470505,0.184649318
1.5,175.1842816,185.4365696,0.175184282,0.18543657
1.51,175.7888512,186.2631424,0.175788851,0.186263142
1.52,176.3401728,186.5129984,0.176340173,0.186512998
1.53,176.857088,186.7661312,0.176857088,0.186766131
1.54,177.4608384,187.3477632,0.177460838,0.187347763
1.55,178.0924416,187.78112,0.178092442,0.18778112
1.56,178.7396096,188.465152,0.17873961,0.188465152
1.57,179.3196032,189.2302848,0.179319603,0.189230285
1.58,179.9471104,189.939712,0.17994711,0.189939712
1.59,180.4484608,190.636032,0.180448461,0.190636032
1.6,181.059584,191.3905152,0.181059584,0.191390515
1.61,181.583872,192.0630784,0.181583872,0.192063078
1.62,182.2007296,193.0002432,0.18220073,0.193000243
1.63,182.8061184,195.682304,0.182806118,0.195682304
1.64,183.463936,195.7715968,0.183463936,0.195771597
1.65,184.0234496,195.7773312,0.18402345,0.195777331
1.66,184.4936704,195.7445632,0.18449367,0.195744563
1.67,184.9892864,195.7740544,0.184989286,0.195774054
1.68,185.5184896,195.7691392,0.18551849,0.195769139
1.69,186.1730304,195.7584896,0.18617303,0.19575849
1.7,186.7825152,195.813376,0.186782515,0.195813376
1.71,187.4599936,196.3278336,0.187459994,0.196327834
1.72,188.2087424,197.1060736,0.188208742,0.197106074
1.73,188.776448,197.6958976,0.188776448,0.197695898
1.74,189.4506496,198.3930368,0.18945065,0.198393037
1.75,190.5737728,199.1450624,0.190573773,0.199145062
1.76,190.6393088,199.5702272,0.190639309,0.199570227
1.77,190.685184,199.553024,0.190685184,0.199553024
1.78,190.7605504,199.5546624,0.19076055,0.199554662
1.79,189.8176512,199.544832,0.189817651,0.199544832
1.8,189.9511808,199.5333632,0.189951181,0.199533363
1.81,190.0396544,199.5251712,0.190039654,0.199525171
1.82,190.1469696,199.5128832,0.19014697,0.199512883
1.83,190.1961216,200.0371712,0.190196122,0.200037171
1.84,190.230528,200.6556672,0.190230528,0.200655667
1.85,190.2739456,201.3413376,0.190273946,0.201341338
1.86,190.3050752,202.162176,0.190305075,0.202162176
1.87,190.3607808,202.5496576,0.190360781,0.202549658
1.88,190.5754112,202.3202816,0.190575411,0.202320282
1.89,190.9039104,206.5170432,0.19090391,0.206517043
1.9,191.275008,206.5104896,0.191275008,0.20651049
1.91,191.7026304,206.4990208,0.19170263,0.206499021
1.92,192.131072,206.4891904,0.192131072,0.20648919
1.93,192.6529024,206.6210816,0.192652902,0.206621082
1.94,193.1329536,207.0347776,0.193132954,0.207034778
1.95,193.5376384,207.4615808,0.193537638,0.207461581
1.96,193.8235392,208.0620544,0.193823539,0.208062054
1.97,194.0135936,208.77312,0.194013594,0.20877312
1.98,194.134016,209.2367872,0.194134016,0.209236787
1.99,194.3601152,209.227776,0.194360115,0.209227776
2,194.4510464,209.2285952,0.194451046,0.209228595
2.01,194.5772032,209.2228608,0.194577203,0.209222861
2.02,194.7090944,209.215488,0.194709094,0.209215488
2.03,194.8024832,209.2130304,0.194802483,0.20921303
2.04,194.9310976,209.1974656,0.194931098,0.209197466
2.05,195.022848,209.4604288,0.195022848,0.209460429
2.06,195.0588928,210.0625408,0.195058893,0.210062541
2.07,195.0941184,210.612224,0.195094118,0.210612224
2.08,195.1154176,211.324928,0.195115418,0.211324928
2.09,195.1096832,211.7025792,0.195109683,0.211702579
2.1,195.1014912,211.6861952,0.195101491,0.211686195
2.11,195.1096832,211.6829184,0.195109683,0.211682918
2.12,195.117056,211.6739072,0.195117056,0.211673907
2.13,195.1105024,211.673088,0.195110502,0.211673088
2.14,195.1039488,211.664896,0.195103949,0.211664896
2.15,195.096576,211.656704,0.195096576,0.211656704
2.16,195.0892032,212.0228864,0.195089203,0.212022886
2.17,195.0982144,212.7192064,0.195098214,0.212719206
2.18,195.0932992,213.4245376,0.195093299,0.213424538
2.19,195.1285248,213.9201536,0.195128525,0.213920154
2.2,195.2129024,214.257664,0.195212902,0.214257664
2.21,195.3660928,214.24128,0.195366093,0.21424128
2.22,195.7666816,214.26176,0.195766682,0.21426176
2.23,196.1156608,214.2527488,0.196115661,0.214252749
2.24,196.5703168,214.2470144,0.196570317,0.214247014
2.25,197.0249728,214.2380032,0.197024973,0.214238003
2.26,197.3977088,214.2273536,0.197397709,0.214227354
2.27,197.8867712,214.5787904,0.197886771,0.21457879
2.28,198.3152128,215.3291776,0.198315213,0.215329178
2.29,198.6772992,215.9394816,0.198677299,0.215939482
2.3,199.0787072,216.5161984,0.199078707,0.216516198
2.31,199.2204288,216.8733696,0.199220429,0.21687337
2.32,199.3793536,216.911872,0.199379354,0.216911872
2.33,199.5071488,216.9290752,0.199507149,0.216929075
2.34,199.647232,216.9217024,0.199647232,0.216921702
2.35,199.8553088,216.9151488,0.199855309,0.216915149
2.36,199.958528,216.9085952,0.199958528,0.216908595
2.37,199.9659008,216.9004032,0.199965901,0.216900403
2.38,199.9863808,217.1346944,0.199986381,0.217134694
2.39,200.0191488,217.7212416,0.200019149,0.217721242
2.4,200.0093184,218.2291456,0.200009318,0.218229146
2.41,200.0420864,218.9697024,0.200042086,0.218969702
2.42,200.0338944,219.0163968,0.200033894,0.219016397
2.43,200.0248832,219.0262272,0.200024883,0.219026227
2.44,200.0166912,219.0278656,0.200016691,0.219027866
2.45,200.0396288,219.0204928,0.200039629,0.219020493
2.46,200.02816,219.0114816,0.20002816,0.219011482
2.47,200.1133568,219.0041088,0.200113357,0.219004109
2.48,200.1862656,219.0024704,0.200186266,0.21900247
2.49,200.327168,219.4530304,0.200327168,0.21945303
2.5,200.4115456,220.1018368,0.200411546,0.220101837
2.51,200.6417408,220.6990336,0.200641741,0.220699034
2.52,200.9874432,221.2560896,0.200987443,0.22125609
2.53,201.3585408,221.3199872,0.201358541,0.221319987
2.54,201.8402304,221.3486592,0.20184023,0.221348659
2.55,202.3759872,221.3429248,0.202375987,0.221342925
2.56,202.6487808,221.3339136,0.202648781,0.221333914
2.57,203.0608384,221.3289984,0.203060838,0.221328998
2.58,203.6006912,221.3240832,0.203600691,0.221324083
2.59,203.964416,221.3183488,0.203964416,0.221318349
2.6,204.3838464,221.6861696,0.204383846,0.22168617
2.61,204.6984192,222.2800896,0.204698419,0.22228009
2.62,204.8974848,222.94528,0.204897485,0.22294528
2.63,205.0752512,223.4851328,0.205075251,0.223485133
2.64,205.3521408,223.555584,0.205352141,0.223555584
2.65,205.6183808,223.5424768,0.205618381,0.223542477
2.66,205.7084928,223.5367424,0.205708493,0.223536742
2.67,205.8551296,223.526912,0.20585513,0.223526912
2.68,205.9264,223.5195392,0.2059264,0.223519539
2.69,205.9493376,223.510528,0.205949338,0.223510528
2.7,205.9558912,223.5383808,0.205955891,0.223538381
2.71,205.9517952,223.8726144,0.205951795,0.223872614
2.72,205.9436032,224.4599808,0.205943603,0.224459981
2.73,205.9362304,224.968704,0.20593623,0.224968704
2.74,205.9296768,225.718272,0.205929677,0.225718272
2.75,205.922304,226.0942848,0.205922304,0.226094285
2.76,205.9157504,226.0795392,0.20591575,0.226079539
2.77,205.910016,226.1147648,0.205910016,0.226114765
2.78,205.9001856,226.1204992,0.205900186,0.226120499
2.79,205.8919936,226.1147648,0.205891994,0.226114765
2.8,205.9403264,226.1082112,0.205940326,0.226108211
2.81,206.0427264,226.1016576,0.206042726,0.226101658
2.82,206.1172736,226.2802432,0.206117274,0.226280243
2.83,206.2475264,226.6701824,0.206247526,0.226670182
2.84,206.3097856,227.2198656,0.206309786,0.227219866
2.85,206.5301504,227.9284736,0.20653015,0.227928474
2.86,206.8307968,228.2479616,0.206830797,0.228247962
2.87,207.151104,228.0235008,0.207151104,0.228023501
2.88,207.6352512,228.0185856,0.207635251,0.228018586
2.89,207.9850496,228.0177664,0.20798505,0.228017766
2.9,208.3069952,228.0112128,0.208306995,0.228011213
2.91,208.7231488,228.0087552,0.208723149,0.228008755
2.92,209.0532864,228.098048,0.209053286,0.228098048
2.93,209.4178304,228.4675072,0.20941783,0.228467507
2.94,209.7668096,229.1204096,0.20976681,0.22912041
2.95,210.1182464,229.7454592,0.210118246,0.229745459
2.96,210.3771136,230.3401984,0.210377114,0.230340198
2.97,210.509824,230.7129344,0.210509824,0.230712934
2.98,210.6957824,230.6981888,0.210695782,0.230698189
2.99,210.7981824,230.6940928,0.210798182,0.230694093
3,210.9259776,230.6842624,0.210925978,0.230684262
3.01,211.0537728,230.6768896,0.211053773,0.23067689
3.02,211.1332352,230.66624,0.211133235,0.23066624
3.03,211.1438848,230.6605056,0.211143885,0.230660506
3.04,211.1520768,230.948864,0.211152077,0.230948864
3.05,211.1741952,231.5616256,0.211174195,0.231561626
3.06,211.1676416,232.2382848,0.211167642,0.232238285
3.07,211.161088,232.8322048,0.211161088,0.232832205
3.08,211.1545344,233.1271168,0.211154534,0.233127117
3.09,211.1504384,233.1140096,0.211150438,0.23311401
3.1,211.140608,233.1181056,0.211140608,0.233118106
3.11,211.1471616,233.1090944,0.211147162,0.233109094
3.12,211.2339968,233.099264,0.211233997,0.233099264
3.13,211.3093632,233.0927104,0.211309363,0.23309271
3.14,211.3855488,233.0927104,0.211385549,0.23309271
3.15,211.5018752,233.2360704,0.211501875,0.23323607
3.16,211.6288512,233.836544,0.211628851,0.233836544
3.17,211.6902912,234.5345024,0.211690291,0.234534502
3.18,211.8541312,235.061248,0.211854131,0.235061248
3.19,212.1449472,235.4102272,0.212144947,0.235410227
3.2,212.4546048,235.4118656,0.212454605,0.235411866
3.21,212.8166912,235.4020352,0.212816691,0.235402035
3.22,213.2443136,235.3864704,0.213244314,0.23538647
3.23,213.700608,235.3864704,0.213700608,0.23538647
3.24,214.1691904,235.3782784,0.21416919,0.235378278
3.25,214.5714176,235.3700864,0.214571418,0.235370086
3.26,215.1636992,235.4143232,0.215163699,0.235414323
3.27,215.486464,235.6527104,0.215486464,0.23565271
3.28,215.8493696,236.253184,0.21584937,0.236253184
3.29,216.1311744,236.8446464,0.216131174,0.236844646
3.3,216.33024,237.4877184,0.21633024,0.237487718
3.31,216.5710848,237.9620352,0.216571085,0.237962035
3.32,216.875008,238.1799424,0.216875008,0.238179942
3.33,217.1117568,238.2094336,0.217111757,0.238209434
3.34,217.296896,238.2348288,0.217296896,0.238234829
3.35,217.4795776,238.2331904,0.217479578,0.23823319
3.36,218.6084352,238.2241792,0.218608435,0.238224179
3.37,218.6174464,238.2168064,0.218617446,0.238216806
3.38,218.6534912,238.2086144,0.218653491,0.238208614
3.39,218.7739136,238.2536704,0.218773914,0.23825367
3.4,218.7599872,239.7380608,0.218759987,0.239738061
3.41,218.820608,240.4253696,0.218820608,0.24042537
3.42,218.8525568,241.033216,0.218852557,0.241033216
3.43,218.882048,241.393664,0.218882048,0.241393664
3.44,218.9238272,241.3953024,0.218923827,0.241395302
3.45,218.9852672,241.385472,0.218985267,0.241385472
3.46,219.1138816,241.37728,0.219113882,0.24137728
3.47,219.291648,241.364992,0.219291648,0.241364992
3.48,219.5668992,241.3535232,0.219566899,0.241353523
3.49,219.8052864,241.3477888,0.219805286,0.241347789
3.5,220.1542656,241.4903296,0.220154266,0.24149033
3.51,220.4622848,242.0277248,0.220462285,0.242027725
3.52,220.6711808,242.5421824,0.220671181,0.242542182
3.53,221.0013184,243.253248,0.221001318,0.243253248
3.54,221.405184,243.8709248,0.221405184,0.243870925
3.55,221.6435712,243.99872,0.221643571,0.24399872
3.56,221.925376,244.092928,0.221925376,0.244092928
3.57,222.2088192,244.0863744,0.222208819,0.244086374
3.58,222.3824896,244.0896512,0.22238249,0.244089651
3.59,222.5414144,244.0822784,0.222541414,0.244082278
3.6,222.6987008,244.1322496,0.222698701,0.24413225
3.61,222.867456,244.2182656,0.222867456,0.244218266
3.62,223.0509568,244.5000704,0.223050957,0.24450007
3.63,223.223808,245.141504,0.223223808,0.245141504
3.64,223.2713216,245.6707072,0.223271322,0.245670707
3.65,223.2885248,246.1294592,0.223288525,0.246129459
3.66,223.29344,246.4088064,0.22329344,0.246408806
3.67,223.3163776,246.4571392,0.223316378,0.246457139
3.68,223.3565184,246.4497664,0.223356518,0.246449766
3.69,223.4417152,246.452224,0.223441715,0.246452224
3.7,223.5809792,246.4456704,0.223580979,0.24644567
3.71,223.7825024,246.4595968,0.223782502,0.246459597
3.72,232.3030016,246.6381824,0.232303002,0.246638182
3.73,232.4578304,246.931456,0.23245783,0.246931456
3.74,232.7461888,247.3672704,0.232746189,0.24736727
3.75,233.08288,248.0676864,0.23308288,0.248067686
3.76,233.7406976,248.6697984,0.233740698,0.248669798
3.77,234.496,249.1744256,0.234496,0.249174426
3.78,234.9735936,249.4275584,0.234973594,0.249427558
3.79,235.58144,249.5021056,0.23558144,0.249502106
3.8,236.1729024,249.4971904,0.236172902,0.24949719
3.81,236.5652992,249.4889984,0.236565299,0.249488998
3.82,237.1887104,249.479168,0.23718871,0.249479168
3.83,237.3517312,249.6217088,0.237351731,0.249621709
3.84,237.4459392,249.7036288,0.237445939,0.249703629
3.85,237.498368,250.2189056,0.237498368,0.250218906
3.86,237.4893568,250.6604544,0.237489357,0.250660454
3.87,237.4803456,251.2216064,0.237480346,0.251221606
3.88,237.4877184,251.7180416,0.237487718,0.251718042
3.89,237.4909952,251.9867392,0.237490995,0.251986739
3.9,237.514752,252.1268224,0.237514752,0.252126822
3.91,237.5909376,252.12928,0.237590938,0.25212928
3.92,237.6138752,252.1227264,0.237613875,0.252122726
3.93,237.6032256,252.1161728,0.237603226,0.252116173
3.94,237.5942144,252.1612288,0.237594214,0.252161229
3.95,237.6310784,252.3144192,0.237631078,0.252314419
3.96,237.6228864,252.7289344,0.237622886,0.252728934
3.97,237.6433664,253.2089856,0.237643366,0.253208986
3.98,237.62944,253.6914944,0.23762944,0.253691494
3.99,237.7457664,254.283776,0.237745766,0.254283776
4,237.9030528,254.4951296,0.237903053,0.25449513
4.01,238.0341248,254.631936,0.238034125,0.254631936
4.02,238.12096,254.6253824,0.23812096,0.254625382
4.03,238.2774272,254.6171904,0.238277427,0.25461719
4.04,238.399488,254.6098176,0.238399488,0.254609818
4.05,238.5657856,254.6794496,0.238565786,0.25467945
4.06,238.903296,254.7941376,0.238903296,0.254794138
4.07,239.3726976,255.1513088,0.239372698,0.255151309
4.08,239.9838208,255.7575168,0.239983821,0.255757517
4.09,240.4827136,256.2482176,0.240482714,0.256248218
4.1,240.9824256,256.794624,0.240982426,0.256794624
4.11,241.6033792,257.0715136,0.241603379,0.257071514
4.12,242.0465664,257.1542528,0.242046566,0.257154253
4.13,242.5028608,257.1460608,0.242502861,0.257146061
4.14,243.0697472,257.1444224,0.243069747,0.257144422
4.15,243.4080768,257.1321344,0.243408077,0.257132134
4.16,243.6898816,257.2468224,0.243689882,0.257246822
4.17,243.7701632,265.8648064,0.243770163,0.265864806
4.18,243.8168576,266.2899712,0.243816858,0.266289971
4.19,243.8332416,266.9584384,0.243833242,0.266958438
4.2,243.851264,267.48928,0.243851264,0.26748928
4.21,243.900416,268.050432,0.243900416,0.268050432
4.22,243.9364608,268.2740736,0.243936461,0.268274074
4.23,243.9438336,268.337152,0.243943834,0.268337152
4.24,243.9364608,268.324864,0.243936461,0.268324864
4.25,243.9692288,268.316672,0.243969229,0.268316672
4.26,243.986432,268.30848,0.243986432,0.26830848
4.27,244.0331264,268.3813888,0.244033126,0.268381389
4.28,244.0388608,268.5640704,0.244038861,0.26856407
4.29,244.109312,268.8958464,0.244109312,0.268895846
4.3,244.195328,269.6077312,0.244195328,0.269607731
4.31,244.281344,270.217216,0.244281344,0.270217216
4.32,244.436992,270.7316736,0.244436992,0.270731674
4.33,244.5279232,270.9413888,0.244527923,0.270941389
4.34,244.6696448,271.024128,0.244669645,0.271024128
4.35,244.813824,271.020032,0.244813824,0.271020032
4.36,244.9547264,271.0093824,0.244954726,0.271009382
4.37,245.2004864,270.999552,0.245200486,0.270999552
4.38,245.624832,271.085568,0.245624832,0.271085568
4.39,245.8918912,271.2420352,0.245891891,0.271242035
4.4,246.2834688,271.7843456,0.246283469,0.271784346
4.41,246.6996224,272.2004992,0.246699622,0.272200499
4.42,247.1575552,272.7632896,0.247157555,0.27276329
4.43,247.5884544,273.3826048,0.247588454,0.273382605
4.44,248.0431104,273.440768,0.24804311,0.273440768
4.45,248.4985856,273.534976,0.248498586,0.273534976
4.46,248.9311232,273.526784,0.248931123,0.273526784
4.47,249.233408,273.5194112,0.249233408,0.273519411
4.48,249.3267968,273.5112192,0.249326797,0.273511219
4.49,249.4046208,273.637376,0.249404621,0.273637376
4.5,249.4398464,273.7364992,0.249439846,0.273736499
4.51,249.462784,274.3107584,0.249462784,0.274310758
4.52,249.5086592,274.9669376,0.249508659,0.274966938
4.53,249.5021056,275.4879488,0.249502106,0.275487949
4.54,249.4963712,275.9122944,0.249496371,0.275912294
4.55,249.491456,275.9950336,0.249491456,0.275995034
4.56,249.4857216,276.0876032,0.249485722,0.276087603
4.57,249.4816256,275.8680576,0.249481626,0.275868058
4.58,249.4701568,275.8606848,0.249470157,0.275860685
4.59,249.4644224,275.8524928,0.249464422,0.275852493
4.6,249.458688,275.9041024,0.249458688,0.275904102
4.61,249.4947328,276.0491008,0.249494733,0.276049101
4.62,249.634816,276.4488704,0.249634816,0.27644887
4.63,249.7724416,276.9985536,0.249772442,0.276998554
4.64,249.8584576,277.491712,0.249858458,0.277491712
4.65,249.9862528,277.8202112,0.249986253,0.277820211
4.66,250.12224,277.966848,0.25012224,0.277966848
4.67,250.2049792,277.8005504,0.250204979,0.27780055
4.68,250.4163328,277.798912,0.250416333,0.277798912
4.69,250.7587584,277.7915392,0.250758758,0.277791539
4.7,251.0700544,277.7931776,0.251070054,0.277793178
4.71,251.6205568,277.7882624,0.251620557,0.277788262
4.72,252.0375296,278.0061696,0.25203753,0.27800617
4.73,252.534784,278.2240768,0.252534784,0.278224077
4.74,253.0443264,278.6246656,0.253044326,0.278624666
4.75,253.5276544,279.1202816,0.253527654,0.279120282
4.76,254.070784,279.4299392,0.254070784,0.279429939
4.77,254.3951872,279.9157248,0.254395187,0.279915725
4.78,254.5876992,280.0910336,0.254587699,0.280091034
4.79,254.7884032,280.1762304,0.254788403,0.28017623
4.8,254.9374976,280.1885184,0.254937498,0.280188518
4.81,255.1087104,280.1852416,0.25510871,0.280185242
4.82,255.5387904,280.1860608,0.25553879,0.280186061
4.83,256.1564672,280.236032,0.256156467,0.280236032
4.84,256.724992,280.3089408,0.256724992,0.280308941
4.85,257.3574144,280.4252672,0.257357414,0.280425267
4.86,258.0045824,280.55552,0.258004582,0.28055552
4.87,258.4764416,280.6472704,0.258476442,0.28064727
4.88,258.9884416,280.641536,0.258988442,0.280641536
4.89,259.5397632,280.9462784,0.259539763,0.280946278
4.9,259.8223872,281.4550016,0.259822387,0.281455002
4.91,259.9714816,281.8433024,0.259971482,0.281843302
4.92,260.0361984,282.3766016,0.260036198,0.282376602
4.93,260.0419328,282.7034624,0.260041933,0.282703462
4.94,260.0353792,282.7902976,0.260035379,0.282790298
4.95,260.042752,282.8394496,0.260042752,0.28283945
4.96,260.0353792,282.943488,0.260035379,0.282943488
4.97,260.0288256,283.0925824,0.260028826,0.283092582
4.98,260.018176,283.2064512,0.260018176,0.283206451
4.99,260.009984,283.2826368,0.260009984,0.283282637
5,260.0009728,283.2736256,0.260000973,0.283273626
5.01,259.9903232,283.5136512,0.259990323,0.283513651
5.02,259.981312,283.9543808,0.259981312,0.283954381
5.03,259.9739392,284.4336128,0.259973939,0.284433613
5.04,259.9673856,284.7899648,0.259967386,0.284789965
