transition(MB),memory(MB),memory(MB),memory(GB),memory(GB)
1.01,149.331968,155.0114816,0.149331968,0.155011482
1.02,149.7980928,155.4251776,0.149798093,0.155425178
1.03,150.2568448,155.6832256,0.150256845,0.155683226
1.04,150.7213312,156.213248,0.150721331,0.156213248
1.05,151.2022016,156.6736384,0.151202202,0.156673638
1.06,151.6691456,157.1323904,0.151669146,0.15713239
1.07,152.0615424,157.376512,0.152061542,0.157376512
1.08,152.5456896,158.035968,0.15254569,0.158035968
1.09,153.0249216,158.7331072,0.153024922,0.158733107
1.1,153.5451136,159.256576,0.153545114,0.159256576
1.11,153.9981312,160.9637888,0.153998131,0.160963789
1.12,154.4814592,160.6402048,0.154481459,0.160640205
1.13,154.882048,161.0563584,0.154882048,0.161056358
1.14,155.2646144,161.3422592,0.155264614,0.161342259
1.15,155.7069824,161.7436672,0.155706982,0.161743667
1.16,156.172288,162.2228992,0.156172288,0.162222899
1.17,156.7260672,162.7127808,0.156726067,0.162712781
1.18,157.249536,163.1051776,0.157249536,0.163105178
1.19,157.7377792,163.7572608,0.157737779,0.163757261
1.2,158.355456,164.462592,0.158355456,0.164462592
1.21,158.8723712,165.00736,0.158872371,0.16500736
1.22,159.3704448,166.5646592,0.159370445,0.166564659
1.23,160.0602112,166.3008768,0.160060211,0.166300877
1.24,160.7204864,166.7719168,0.160720486,0.166771917
1.25,161.3389824,167.0504448,0.161338982,0.167050445
1.26,161.9984384,167.3551872,0.161998438,0.167355187
1.27,162.4948736,167.7975552,0.162494874,0.167797555
1.28,163.0773248,168.3996672,0.163077325,0.168399667
1.29,163.59424,168.8322048,0.16359424,0.168832205
1.3,164.077568,169.3130752,0.164077568,0.169313075
1.31,164.5477888,169.9192832,0.164547789,0.169919283
1.32,165.0384896,170.3804928,0.16503849,0.170380493
1.33,165.494784,172.5956096,0.165494784,0.17259561
1.34,165.957632,171.1685632,0.165957632,0.171168563
1.35,166.4294912,171.6641792,0.166429491,0.171664179
1.36,166.9062656,172.085248,0.166906266,0.172085248
1.37,167.325696,172.5227008,0.167325696,0.172522701
1.38,167.7279232,173.0576384,0.167727923,0.173057638
1.39,168.2161664,173.5254016,0.168216166,0.173525402
1.4,168.7560192,174.063616,0.168756019,0.174063616
1.41,169.222144,174.5412096,0.169222144,0.17454121
1.42,169.7251328,175.0802432,0.169725133,0.175080243
1.43,170.2281216,175.6749824,0.170228122,0.175674982
1.44,170.6115072,176.1452032,0.170611507,0.176145203
1.45,171.0260224,177.6984064,0.171026022,0.177698406
1.46,171.4200576,177.0102784,0.171420058,0.177010278
1.47,171.9877632,177.4993408,0.171987763,0.177499341
1.48,172.3826176,178.0465664,0.172382618,0.178046566
1.49,172.978176,178.4414208,0.172978176,0.178441421
1.5,173.5049216,178.8198912,0.173504922,0.178819891
1.51,174.0898304,179.3769472,0.17408983,0.179376947
1.52,174.5764352,179.9766016,0.174576435,0.179976602
1.53,175.1629824,180.4959744,0.175162982,0.180495974
1.54,175.7724672,181.2463616,0.175772467,0.181246362
1.55,176.295936,181.8779648,0.176295936,0.181877965
1.56,176.8513536,182.4751616,0.176851354,0.182475162
1.57,177.39776,184.479744,0.17739776,0.184479744
1.58,177.8991104,183.3058304,0.17789911,0.18330583
1.59,178.3734272,183.529472,0.178373427,0.183529472
1.6,178.8542976,184.0349184,0.178854298,0.184034918
1.61,179.3368064,184.6165504,0.179336806,0.18461655
1.62,179.8479872,185.15968,0.179847987,0.18515968
1.63,180.3403264,185.7511424,0.180340326,0.185751142
1.64,180.740096,186.4196096,0.180740096,0.18641961
1.65,181.1316736,186.994688,0.181131674,0.186994688
1.66,181.481472,187.4223104,0.181481472,0.18742231
1.67,181.7059328,188.0989696,0.181705933,0.18809897
1.68,182.2400512,189.2098048,0.182240051,0.189209805
1.69,182.8069376,189.4694912,0.182806938,0.189469491
1.7,183.5196416,189.6235008,0.183519642,0.189623501
1.71,184.1135616,190.0142592,0.184113562,0.190014259
1.72,184.6534144,189.8610688,0.184653414,0.189861069
1.73,185.2604416,187.2412672,0.185260442,0.187241267
1.74,185.7748992,187.4116608,0.185774899,0.187411661
1.75,186.179584,187.7999616,0.186179584,0.187799962
1.76,186.28608,188.2243072,0.18628608,0.188224307
1.77,184.9155584,188.7379456,0.184915558,0.188737946
1.78,185.020416,189.202432,0.185020416,0.189202432
1.79,185.0966016,189.6341504,0.185096602,0.18963415
